kind,name,source,handler,auth_dependencies,review_status,test_evidence
dynamic-service,per-account Redis unit,daemon/redisacct.py,generated systemd unit,account owner and unit template pending review,reviewed-fixed,"Source: account/app ID binding, command UID, validators, root-owned unit/env, BEGIN IMMEDIATE shared port allocation, encrypted environment and teardown; bbe5cbe/3a309e9; 66 application plus 40 command tests; 204 grouped route/policy/domain tests; real Redis socket UID canary. Generated-unit log canary recorded under BSA-2026-048."
dynamic-service,trusted FileBrowser frontend unit,daemon/filebrowser_accounts.py,generated systemd unit,account owner and unit template pending review,reviewed-fixed,BSA-2026-036; b8ec15d; 43 focused tests; VM hostile backend canary; primary trusted frontend service smoke
native-helper,mail_restore_gate.c,daemon/mail_restore_gate.c,mail_restore_gate.c,setuid/capabilities and caller pending review,reviewed-tested,Source/parser/UID/config review; 39 VM native gate/config tests pass; undefined-behavior sanitizer; 359 bounded binary-input cases; real isolated Dovecot delegation/temporary failure
python-script,acme_http_file.py,scripts/acme_http_file.py,acme_http_file.py,invocation and effective UID pending review,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
python-script,acme_http_hook.py,scripts/acme_http_hook.py,acme_http_hook.py,invocation and effective UID pending review,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
python-script,app_exec.py,scripts/app_exec.py,app_exec.py,invocation and effective UID pending review,reviewed-fixed,BSA-2026-048; tests/test_app_log_security.py; real VM log canary; 594e465
python-script,app_files.py,scripts/app_files.py,app_files.py,invocation and effective UID pending review,reviewed-fixed,BSA-2026-034/035; 7edecb9; 41 focused tests; VM 10 UID canaries; VM static API install; primary hotfix hash/service/login smoke
python-script,backup_scheduler.py,scripts/backup_scheduler.py,backup_scheduler.py,invocation and effective UID pending review,pending,
python-script,cloudflare_ranges.py,scripts/cloudflare_ranges.py,cloudflare_ranges.py,invocation and effective UID pending review,pending,
python-script,cloudflare_zone_check.py,scripts/cloudflare_zone_check.py,cloudflare_zone_check.py,invocation and effective UID pending review,pending,
python-script,create_admin.py,scripts/create_admin.py,create_admin.py,invocation and effective UID pending review,pending,
python-script,export_openapi.py,scripts/export_openapi.py,export_openapi.py,invocation and effective UID pending review,pending,
python-script,health_snapshot.py,scripts/health_snapshot.py,health_snapshot.py,invocation and effective UID pending review,reviewed-tested,"Source: administrator-only global telemetry, root-internal snapshot, fixed chronyc argv with timeout/cache, bounded history hours/retention and parameterized SQL; tests/test_health.py (5) and root-policy gate; root-controlled cron log directory BSA-2026-055."
python-script,maintenance_autodisable.py,scripts/maintenance_autodisable.py,maintenance_autodisable.py,invocation and effective UID pending review,pending,
python-script,monitoring_check.py,scripts/monitoring_check.py,monitoring_check.py,invocation and effective UID pending review,pending,
python-script,panel_ssl_deploy.py,scripts/panel_ssl_deploy.py,panel_ssl_deploy.py,invocation and effective UID pending review,pending,
python-script,pma_token_cleanup.py,scripts/pma_token_cleanup.py,pma_token_cleanup.py,invocation and effective UID pending review,reviewed-fixed,"PMA token hardening: 18 PMA unit/sign-on tests plus 1 exact-grant MariaDB test; VM token canary minted temp DB token, verified 0640 regular token file, expired cleanup dropped ephemeral DB user/file/row and dropped temp DB; primary hash deployed"
python-script,reconcile_db_grants.py,scripts/reconcile_db_grants.py,reconcile_db_grants.py,invocation and effective UID pending review,pending,
python-script,reconcile_ftps_tls.py,scripts/reconcile_ftps_tls.py,reconcile_ftps_tls.py,invocation and effective UID pending review,pending,
python-script,reconcile_litespeed_repo.py,scripts/reconcile_litespeed_repo.py,reconcile_litespeed_repo.py,invocation and effective UID pending review,pending,
python-script,reconcile_ols_webadmin.py,scripts/reconcile_ols_webadmin.py,reconcile_ols_webadmin.py,invocation and effective UID pending review,pending,
python-script,security_inventory.py,scripts/security_inventory.py,security_inventory.py,invocation and effective UID pending review,pending,
python-script,sign_release.py,scripts/sign_release.py,sign_release.py,invocation and effective UID pending review,pending,
python-script,sitestats_snapshot.py,scripts/sitestats_snapshot.py,sitestats_snapshot.py,invocation and effective UID pending review,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
python-script,ssl_deploy_hook.py,scripts/ssl_deploy_hook.py,ssl_deploy_hook.py,invocation and effective UID pending review,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
python-script,ssl_expiry_check.py,scripts/ssl_expiry_check.py,ssl_expiry_check.py,invocation and effective UID pending review,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
python-script,update_check.py,scripts/update_check.py,update_check.py,invocation and effective UID pending review,reviewed-fixed,"update/release gate: 16 API/version/signature, 89 update/finalizer, 11 release tests; VM signed 1.5.1 update job and rollback job completed; post-rollback admin login smoke"
python-script,update_finalize.py,scripts/update_finalize.py,update_finalize.py,invocation and effective UID pending review,reviewed-fixed,"update/release gate: 16 API/version/signature, 89 update/finalizer, 11 release tests; VM signed 1.5.1 update job and rollback job completed; post-rollback admin login smoke"
python-script,usage_alert_check.py,scripts/usage_alert_check.py,usage_alert_check.py,invocation and effective UID pending review,pending,
python-script,usage_snapshot.py,scripts/usage_snapshot.py,usage_snapshot.py,invocation and effective UID pending review,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
python-script,verify_phase7b_live.py,scripts/verify_phase7b_live.py,verify_phase7b_live.py,invocation and effective UID pending review,pending,
python-script,wordpress_files.py,scripts/wordpress_files.py,wordpress_files.py,invocation and effective UID pending review,reviewed-fixed,BSA-2026-034; 09329f7/faf0a27; focused WordPress/safeio tests; VM UID canaries and WordPress acceptance; primary hotfix
python-script,wordpress_manage.py,scripts/wordpress_manage.py,wordpress_manage.py,invocation and effective UID pending review,pending,
route,DELETE /api/v1/accounts/{username}/apps/node/{app_id},api/routers/nodeapps.py,delete_node_app,get_identity,reviewed-fixed,"Source: account/app ID binding, command UID, validators, root-owned unit/env, BEGIN IMMEDIATE shared port allocation, encrypted environment and teardown; bbe5cbe/3a309e9; 66 application plus 40 command tests; 204 grouped route/policy/domain tests; real Redis socket UID canary. Generated-unit log canary recorded under BSA-2026-048."
route,DELETE /api/v1/accounts/{username}/apps/python/{app_id},api/routers/pythonapps.py,delete_python_app,get_identity,reviewed-fixed,"Source: account/app ID binding, command UID, validators, root-owned unit/env, BEGIN IMMEDIATE shared port allocation, encrypted environment and teardown; bbe5cbe/3a309e9; 66 application plus 40 command tests; 204 grouped route/policy/domain tests; real Redis socket UID canary. Generated-unit log canary recorded under BSA-2026-048."
route,DELETE /api/v1/accounts/{username}/crons/{job_id},api/routers/cron.py,delete_cron,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; lifecycle-dns-review-tests.log (140 passed); outbound-security-tests.log (227 passed); root RPC role/ownership matrix. Deployment acceptance separate.
route,DELETE /api/v1/accounts/{username}/databases/{name},api/routers/databases.py,drop_database,get_identity,reviewed-fixed,"database/FTP lifecycle hardening: 47 database/FTP/RPC-authority tests; VM canary forced post-create bookkeeping failures and external delete failures, proving created DB/FTP objects are cleaned up or rows retained for retry; primary hashes deployed"
route,DELETE /api/v1/accounts/{username}/domains/{domain},api/routers/domains.py,remove_domain,get_identity,reviewed-fixed,BSA-2026-046; account/domain ownership before dispatch; 85 ownership tests plus VM cases
route,DELETE /api/v1/accounts/{username}/domains/{domain}/email/autoresponders/{local_part},api/routers/email.py,delete_autoresponder,get_identity,reviewed-fixed,autoresponder Sieve rollback hardening: 82 handler/autoresponder/mail-mutation/RPC-authority tests; VM canary forced row set/delete failures and verified .dovecot.sieve new-file removal and old-file restoration; primary handlers_mail.py hash deployed
route,DELETE /api/v1/accounts/{username}/domains/{domain}/email/catchall,api/routers/email.py,delete_catchall,get_identity,pending,
route,DELETE /api/v1/accounts/{username}/domains/{domain}/email/forwarders,api/routers/email.py,delete_forwarder,get_identity,pending,
route,DELETE /api/v1/accounts/{username}/domains/{domain}/error-pages/{code},api/routers/errorpages.py,delete_error_page,get_identity,reviewed-fixed,Shared no-follow file/tenant ACL fix; sandboxed HTML preview; test_feature_scope_review.py; test_custom_pages.py; Chromium error-preview-security.spec.js normal CSP and bypassCSP cases passed
route,DELETE /api/v1/accounts/{username}/domains/{domain}/forwarding,api/routers/forwarding.py,delete_forwarding,get_identity,reviewed-tested,"Source: account/domain binding, row scopes, redirect/status/CIDR/allowlist validation, OLS rule interpolation, escaped maintenance HTML, generated bypass token and private custom-page writer; 204 grouped route/policy/domain tests. Failed OLS applies return errors; DB retains desired settings (not a claim of transactional rollback)."
route,DELETE /api/v1/accounts/{username}/domains/{domain}/ip-block,api/routers/ipblock.py,remove_ip_block,get_identity,reviewed-tested,"Source: account/domain binding, row scopes, redirect/status/CIDR/allowlist validation, OLS rule interpolation, escaped maintenance HTML, generated bypass token and private custom-page writer; 204 grouped route/policy/domain tests. Failed OLS applies return errors; DB retains desired settings (not a claim of transactional rollback)."
route,DELETE /api/v1/accounts/{username}/domains/{domain}/nameservers,api/routers/nameservers.py,reset_nameservers,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; final-auth-boundaries.log (76 passed); notification-mfa-review.log (273 passed); lifecycle-dns-review-tests.log (140 passed); explicit role/owner checks reviewed.
route,DELETE /api/v1/accounts/{username}/domains/{domain}/redirects,api/routers/redirects.py,delete_redirect,get_identity,reviewed-tested,"Source: account/domain binding, row scopes, redirect/status/CIDR/allowlist validation, OLS rule interpolation, escaped maintenance HTML, generated bypass token and private custom-page writer; 204 grouped route/policy/domain tests. Failed OLS applies return errors; DB retains desired settings (not a claim of transactional rollback)."
route,DELETE /api/v1/accounts/{username}/domains/{domain}/staging,api/routers/staging.py,delete_staging,get_identity,reviewed-fixed,f5618e3; account/domain access; staging-boundary-tests.log and VM tenant copy canaries
route,DELETE /api/v1/accounts/{username}/email/{mailbox}/spam-filters,api/routers/spamfilter.py,delete_entry,get_identity,reviewed-fixed,spamfilter entry rollback hardening: 93 spamfilter/mail/RPC-authority tests; VM canary forced global Sieve refresh failures on add/delete/import/mailbox cleanup and verified DB rows rolled back or restored; primary spamfilter.py hash deployed
route,DELETE /api/v1/accounts/{username}/file-auth,api/routers/fileauth.py,disable_protection,get_identity,reviewed-fixed,"fileauth symlink-safe htpasswd hardening: 31 fileauth/RPC-authority tests; VM canary enabled temp docroot dir, added/listed/deleted bcrypt user, rejected swapped .htpasswd symlink without touching canary, disabled row and cleaned temp dir; primary hash deployed"
route,DELETE /api/v1/accounts/{username}/file-auth/users,api/routers/fileauth.py,delete_user,get_identity,reviewed-fixed,"fileauth symlink-safe htpasswd hardening: 31 fileauth/RPC-authority tests; VM canary enabled temp docroot dir, added/listed/deleted bcrypt user, rejected swapped .htpasswd symlink without touching canary, disabled row and cleaned temp dir; primary hash deployed"
route,DELETE /api/v1/accounts/{username}/ftp/{label},api/routers/ftp.py,delete_ftp_account,get_identity,reviewed-fixed,"database/FTP lifecycle hardening: 47 database/FTP/RPC-authority tests; VM canary forced post-create bookkeeping failures and external delete failures, proving created DB/FTP objects are cleaned up or rows retained for retry; primary hashes deployed"
route,DELETE /api/v1/accounts/{username}/git/{name},api/routers/git.py,delete_repo,get_identity,reviewed-fixed,BSA-2026-047; source filesystem/role review; tests/test_feature_scope_review.py and test_gitrepo.py; VM Git canary; 9aa8d30
route,DELETE /api/v1/accounts/{username}/parked-domains/{parked_domain},api/routers/parked.py,remove_parked,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; final-auth-boundaries.log (76 passed); notification-mfa-review.log (273 passed); lifecycle-dns-review-tests.log (140 passed); explicit role/owner checks reviewed.
route,DELETE /api/v1/accounts/{username}/php-extensions,api/routers/php_ini.py,reset_php_extensions,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; scanner-cloudflare-review.log (119 passed); php-extension-path-security.log (25 passed); old PHP path escape reproduced in isolated fixture. Root ownership policies and role checks reviewed; final release gate separate.
route,DELETE /api/v1/accounts/{username}/php-ini,api/routers/php_ini.py,reset_php_ini,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; scanner-cloudflare-review.log (119 passed); php-extension-path-security.log (25 passed); old PHP path escape reproduced in isolated fixture. Root ownership policies and role checks reviewed; final release gate separate.
route,DELETE /api/v1/accounts/{username}/processes/{pid},api/routers/processes.py,kill_process,get_identity,pending,
route,DELETE /api/v1/accounts/{username}/redis,api/routers/redis_router.py,disable_redis,get_identity,reviewed-fixed,"Source: account/app ID binding, command UID, validators, root-owned unit/env, BEGIN IMMEDIATE shared port allocation, encrypted environment and teardown; bbe5cbe/3a309e9; 66 application plus 40 command tests; 204 grouped route/policy/domain tests; real Redis socket UID canary. Generated-unit log canary recorded under BSA-2026-048."
route,DELETE /api/v1/accounts/{username}/ssh-keys/{fingerprint},api/routers/sshkeys.py,delete_key,get_identity,reviewed-tested,All routes require customer self access; validated public keys; shared-I/O/SSH 70-case regression
route,DELETE /api/v1/admin/accounts/{username}/php-functions,api/routers/php_functions.py,delete_override,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; scanner-cloudflare-review.log (119 passed); php-extension-path-security.log (25 passed); old PHP path escape reproduced in isolated fixture. Root ownership policies and role checks reviewed; final release gate separate.
route,DELETE /api/v1/admin/branding/favicon,api/routers/branding.py,remove_favicon,get_identity,reviewed-fixed,SVG vocabulary and CSP reviewed; 45 branding cases in imap-branding-review.log plus bounded upload test
route,DELETE /api/v1/admin/branding/logo,api/routers/branding.py,remove_logo,get_identity,reviewed-fixed,SVG vocabulary and CSP reviewed; 45 branding cases in imap-branding-review.log plus bounded upload test
route,DELETE /api/v1/admin/db/queries/{thread_id},api/routers/dbmonitor.py,kill_query,get_identity,reviewed-tested,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/admin/ip-bans/{ban_id},api/routers/ipban.py,delete_ban,get_identity,reviewed-fixed,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/admin/ip-management/ips/{ip_id},api/routers/ipmanager.py,delete_ip,get_identity,reviewed-tested,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/admin/plans/{plan_id},api/routers/plans.py,delete_plan,get_identity,reviewed-fixed,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/admin/resellers/plans/{plan_id},api/routers/resellers.py,delete_plan,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; lifecycle-dns-review-tests.log (140 passed); outbound-security-tests.log (227 passed); root RPC role/ownership matrix. Deployment acceptance separate.
route,DELETE /api/v1/admin/templates/welcome-email,api/routers/site_templates.py,reset_welcome_email,get_identity,reviewed-tested,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/admin/webhooks/{webhook_id},api/routers/webhooks.py,delete_webhook,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; lifecycle-dns-review-tests.log (140 passed); outbound-security-tests.log (227 passed); root RPC role/ownership matrix. Deployment acceptance separate.
route,DELETE /api/v1/backups/destinations/{destination_id},api/routers/backups.py,delete_destination,get_identity,pending,
route,DELETE /api/v1/cloudflare/accounts/{account_id},api/routers/cloudflare.py,delete_account,get_identity,reviewed-tested,SECURITY-AUDIT-REVIEW-2026-09-24.md; scanner-cloudflare-review.log (119 passed); php-extension-path-security.log (25 passed); old PHP path escape reproduced in isolated fixture. Root ownership policies and role checks reviewed; final release gate separate.
route,DELETE /api/v1/dns/zones/{domain}/records,api/routers/dns.py,delete_record,get_identity,pending,
route,DELETE /api/v1/firewall/bypass/{bypass_id},api/routers/firewall.py,delete_bypass,get_identity,reviewed-fixed,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/firewall/rules/{rule_id},api/routers/firewall.py,delete_rule,get_identity,reviewed-fixed,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/mail/domains/{domain}/mailboxes/{local_part},api/routers/mail.py,delete_mailbox,get_identity,reviewed-fixed,mail lifecycle hardening: 63 mail/mutation/RPC-authority tests; VM canary forced post-create cache failures and verified external mail domain/mailbox/maildir/cache cleanup; no-owner domain create now fails before external create; primary handlers_mail.py hash matches and boron-provisiond active; BSA-2026-045: domain-wide spam rules/prefs cleanup; retain cache for retry; 123 distinct targeted tests across runs and 6 real VM cleanup/retry assertions; primary hotfixed
route,DELETE /api/v1/security/ip-whitelist/{entry_id},api/routers/ipwhitelist.py,delete_entry,get_identity,reviewed-tested,"Manual router-to-handler review: admin-only root policy, fixed command/service allowlists, validated identifiers/CIDRs/settings, bound SQL, scoped IP ownership, root-controlled configuration/credential files, OLS no-store reveal, sandboxed template preview. 247 route/service/whitelist, 81 network, 23 dispatch/reconcile, 77 lifecycle/package, 57 mailqueue/template/IP/OLS, 36 monitor/audit tests; 251 audit-export/role tests. See SECURITY-AUDIT-REVIEW-2026-09-24.md for deployment and limitations."
route,DELETE /api/v1/tokens/{token_id},api/routers/tokens.py,revoke_token,get_identity,reviewed-fixed,"auth/session/TOTP/RPC authority: 82 focused tests passed; hashed sessions, root-side login protocol, token admin checks, TOTP replay/recovery serialization, live VM login smoke"
route,DELETE /api/v1/waf/custom-rules/{rule_id},api/routers/waf.py,delete_custom_rule,get_identity,reviewed-fixed,BSA-2026-072; administrator-only controls; waf-file-transaction-tests.log
route,DELETE /files,api/routers/filebrowser.py,proxy,manual-auth-inside-handler,reviewed-fixed,BSA-2026-030/BSA-2026-036; 46547ff/112ed30/b8ec15d; 92+43 focused tests; VM own/cross-account/write and hostile-backend canaries; Chromium HTML/SVG isolation; primary smoke
route,DELETE /files/{path:path},api/routers/filebrowser.py,proxy,manual-auth-inside-handler,reviewed-fixed,BSA-2026-030/BSA-2026-036; 46547ff/112ed30/b8ec15d; 92+43 focused tests; VM own/cross-account/write and hostile-backend canaries; Chromium HTML/SVG isolation; primary smoke
route,GET /,api/main.py,root,,reviewed-public,tests/test_public_route_inventory.py
route,GET /api/docs,api/main.py,swagger_ui,get_identity,pending,
route,GET /api/openapi.json,api/main.py,openapi_schema,get_identity,pending,
route,GET /api/redoc,api/main.py,redoc_ui,get_identity,pending,
